* Source:
*
*   http://www.belgocontrol.be/
*
*   AIP Part 2 EN-ROUTE (ENR)
*   ENR 2 AIR TRAFFIC SERVICES AIRSPACE
*    ENR 2.1 FIR, UIR, TMA
*
*   Belgian border data was extracted from
*   http://downloads.cloudmade.com/europe/western_europe/belgium/belgium.poly
*
* Last check: 
*
*   Wim Verhoeve (17 December 2011)
*
* Map List:
* 
*   MAP WEEK           YES
*   MAP WEEKEND        YES
*   MAP WEEKEND_LFAG1  YES
*   MAP WEEKEND_LFAG2  YES
*   MAP WEEKEND_LFAG5  YES
*
* Remark for paragliders:
*   - This is the whole of Belgian airspace => not relevant for paragliding

AC G
AN Brussels FIR
AH FL 195
AL GND
DP 51:05:21 N 002:32:44 E
DP 51:07:00 N 002:00:00 E
DP 51:30:00 N 002:00:00 E
DP 51:22:23 N 003:21:47 E
* START Belgian-Dutch border
DP 51.367607 N 3.360786 E
DP 51.361599 N 3.368919 E
DP 51.357307 N 3.372781 E
DP 51.353104 N 3.373232 E
DP 51.349003 N 3.371987 E
DP 51.342094 N 3.382609 E
DP 51.336105 N 3.386729 E
DP 51.330593 N 3.386986 E
DP 51.324692 N 3.376966 E
DP 51.316002 N 3.371837 E
DP 51.291904 N 3.376772 E
DP 51.288494 N 3.384326 E
DP 51.283298 N 3.382931 E
DP 51.277290 N 3.382545 E
DP 51.274609 N 3.394260 E
DP 51.263901 N 3.406191 E
DP 51.263496 N 3.414109 E
DP 51.260899 N 3.423529 E
DP 51.256092 N 3.427520 E
DP 51.250191 N 3.430073 E
DP 51.246006 N 3.440866 E
DP 51.244804 N 3.456166 E
DP 51.246693 N 3.505690 E
DP 51.248795 N 3.525045 E
DP 51.282204 N 3.516483 E
DP 51.288902 N 3.513951 E
DP 51.291691 N 3.526568 E
DP 51.290401 N 3.538692 E
DP 51.293190 N 3.543520 E
DP 51.291992 N 3.552446 E
DP 51.297806 N 3.555901 E
DP 51.298405 N 3.561029 E
DP 51.292503 N 3.573561 E
DP 51.291798 N 3.579183 E
DP 51.301991 N 3.583388 E
DP 51.307590 N 3.591864 E
DP 51.298107 N 3.620403 E
DP 51.291603 N 3.643169 E
DP 51.292892 N 3.666880 E
DP 51.283409 N 3.693874 E
DP 51.274502 N 3.713701 E
DP 51.272591 N 3.725932 E
DP 51.274094 N 3.734944 E
DP 51.273495 N 3.743484 E
DP 51.273903 N 3.755393 E
DP 51.270187 N 3.761959 E
DP 51.265102 N 3.764749 E
DP 51.263409 N 3.770843 E
DP 51.264397 N 3.778031 E
DP 51.257595 N 3.799317 E
DP 51.246201 N 3.791056 E
DP 51.241093 N 3.789511 E
DP 51.215195 N 3.788717 E
DP 51.204895 N 3.808007 E
DP 51.213497 N 3.876307 E
DP 51.208092 N 3.879762 E
DP 51.207703 N 3.879097 E
DP 51.206997 N 3.880470 E
DP 51.201096 N 3.884203 E
DP 51.198906 N 3.902099 E
DP 51.210495 N 3.924201 E
DP 51.216007 N 3.962481 E
DP 51.241306 N 3.999689 E
DP 51.248001 N 4.056981 E
DP 51.267895 N 4.104381 E
DP 51.305508 N 4.183474 E
DP 51.337502 N 4.217720 E
DP 51.346600 N 4.231646 E
DP 51.351299 N 4.237139 E
DP 51.357502 N 4.230595 E
DP 51.359196 N 4.223449 E
DP 51.365696 N 4.222162 E
DP 51.370205 N 4.216025 E
DP 51.376106 N 4.221153 E
DP 51.376900 N 4.277029 E
DP 51.380203 N 4.279046 E
DP 51.380287 N 4.280677 E
DP 51.381298 N 4.337411 E
DP 51.360699 N 4.346423 E
DP 51.361191 N 4.366443 E
DP 51.360012 N 4.396656 E
DP 51.364109 N 4.408500 E
DP 51.367802 N 4.422662 E
DP 51.376213 N 4.427469 E
DP 51.385998 N 4.424572 E
DP 51.403591 N 4.399853 E
DP 51.417194 N 4.392257 E
DP 51.448395 N 4.395368 E
DP 51.458801 N 4.408972 E
DP 51.464401 N 4.426203 E
DP 51.471096 N 4.442811 E
DP 51.476505 N 4.466822 E
DP 51.480988 N 4.478602 E
DP 51.480087 N 4.493279 E
DP 51.484810 N 4.537783 E
DP 51.472107 N 4.551988 E
DP 51.468094 N 4.549499 E
DP 51.452000 N 4.533470 E
DP 51.447109 N 4.530358 E
DP 51.423592 N 4.537160 E
DP 51.431400 N 4.590847 E
DP 51.429790 N 4.596770 E
DP 51.427711 N 4.614258 E
DP 51.426807 N 4.632561 E
DP 51.423996 N 4.640651 E
DP 51.423592 N 4.647453 E
DP 51.425392 N 4.654834 E
DP 51.424706 N 4.661336 E
DP 51.427303 N 4.662838 E
DP 51.425392 N 4.679103 E
DP 51.430695 N 4.678974 E
DP 51.438011 N 4.677429 E
DP 51.444489 N 4.678760 E
DP 51.455799 N 4.707470 E
DP 51.465797 N 4.712062 E
DP 51.467491 N 4.719357 E
DP 51.470196 N 4.723606 E
DP 51.474403 N 4.728305 E
DP 51.481506 N 4.732661 E
DP 51.486591 N 4.736931 E
DP 51.497513 N 4.752145 E
DP 51.503799 N 4.779332 E
DP 51.497105 N 4.804931 E
DP 51.479809 N 4.838641 E
DP 51.458096 N 4.839928 E
DP 51.439598 N 4.829221 E
DP 51.422409 N 4.834950 E
DP 51.423889 N 4.829006 E
DP 51.425499 N 4.810681 E
DP 51.432003 N 4.786026 E
DP 51.428913 N 4.773281 E
DP 51.420994 N 4.778023 E
DP 51.415394 N 4.782615 E
DP 51.411293 N 4.791241 E
DP 51.409492 N 4.797485 E
DP 51.409298 N 4.832933 E
DP 51.415607 N 4.884710 E
DP 51.398590 N 4.925737 E
DP 51.399109 N 4.926295 E
DP 51.398205 N 4.927390 E
DP 51.397499 N 4.936080 E
DP 51.401897 N 4.945028 E
DP 51.420006 N 4.970949 E
DP 51.433395 N 4.994423 E
DP 51.439102 N 5.006568 E
DP 51.444813 N 5.010860 E
DP 51.450497 N 5.013113 E
DP 51.455112 N 5.016975 E
DP 51.459488 N 5.016718 E
DP 51.464211 N 5.014915 E
DP 51.470688 N 5.017855 E
DP 51.475712 N 5.022383 E
DP 51.485409 N 5.037231 E
DP 51.471504 N 5.051029 E
DP 51.466892 N 5.082099 E
DP 51.448891 N 5.094802 E
DP 51.428505 N 5.097506 E
