* Source:
*
*   http://www.belgocontrol.be/
*
*   AIP Part 2 EN-ROUTE (ENR)
*   ENR 2 AIR TRAFFIC SERVICES AIRSPACE
*    ENR 2.1 FIR, UIR, TMA
*
*   Belgian border data was extracted from
*   http://downloads.cloudmade.com/europe/western_europe/belgium/belgium.poly
*
* Last check: 
*
*   Bart Vandewoestyne (23 November 2011)
*   Wim Verhoeve (17 December 2011)
*
* Map List:
* 
*   NONE
*
* Remark for paragliders:
*   - AL > FL 55 => not relevant for paragliding

AC C
AN Brussels CTA EAST 5
AH FL 195
AL FL 105 * Lower limit FL 175 when EBD04 is active.
DP 50:33:18 N 005:56:10 E
DP 50:37:54 N 006:13:08 E
* START Belgian-German border
DP 50.624207 N 6.228926 E
DP 50.625408 N 6.259332 E
DP 50.621887 N 6.265748 E
DP 50.620193 N 6.265898 E
DP 50.616394 N 6.278386 E
DP 50.592106 N 6.251564 E
DP 50.593498 N 6.241715 E
DP 50.586998 N 6.232295 E
DP 50.583309 N 6.232660 E
DP 50.586506 N 6.220129 E
DP 50.587105 N 6.220064 E
DP 50.579704 N 6.212146 E
DP 50.574703 N 6.202855 E
DP 50.574402 N 6.196740 E
DP 50.567001 N 6.197469 E
DP 50.562794 N 6.185603 E
DP 50.562492 N 6.179509 E
DP 50.559898 N 6.175647 E
DP 50.550499 N 6.172192 E
DP 50.533096 N 6.180840 E
DP 50.517002 N 6.210344 E
DP 50.502304 N 6.223841 E
DP 50.500912 N 6.246736 E
DP 50.498291 N 6.246994 E
DP 50.498508 N 6.253066 E
DP 50.494797 N 6.253431 E
DP 50.495094 N 6.259503 E
DP 50.498806 N 6.259139 E
DP 50.502693 N 6.264846 E
DP 50.499195 N 6.271262 E
DP 50.499409 N 6.277313 E
DP 50.497799 N 6.298900 E
DP 50.502605 N 6.315100 E
DP 50.493591 N 6.330035 E
DP 50.464302 N 6.342459 E
DP 50.452202 N 6.363680 E
DP 50.454197 N 6.366491 E
DP 50.450699 N 6.372864 E
DP 50.446709 N 6.373272 E
DP 50.445999 N 6.374667 E
DP 50.420700 N 6.362264 E
DP 50.404694 N 6.362071 E
DP 50.390705 N 6.340485 E
DP 50.379910 N 6.339755 E
DP 50.375896 N 6.344862 E
DP 50.365299 N 6.363680 E
DP 50.361092 N 6.364045 E
DP 50.354397 N 6.372736 E
DP 50.354504 N 6.376576 E
DP 50.350792 N 6.377370 E
DP 50.351006 N 6.382864 E
DP 50.343796 N 6.395438 E
DP 50.336502 N 6.396081 E
DP 50.336609 N 6.402068 E
DP 50.332897 N 6.402390 E
DP 50.333092 N 6.408334 E
DP 50.321888 N 6.403334 E
DP 50.318005 N 6.391726 E
DP 50.317898 N 6.385760 E
DP 50.320107 N 6.381919 E
DP 50.312897 N 6.356492 E
DP 50.322792 N 6.341364 E
DP 50.321804 N 6.331408 E
DP 50.323498 N 6.331258 E
DP 50.321503 N 6.328361 E
DP 50.321201 N 6.325357 E
DP 50.323196 N 6.325164 E
DP 50.319294 N 6.319435 E
DP 50.318497 N 6.301174 E
DP 50.307404 N 6.302204 E
* END BelgianN -German border
DP 50:18:18 N 006:17:45 E
DP 50:33:18 N 005:56:10 E
