* See:
*   AIP Part 2 EN-ROUTE (ENR)
*   ENR 2 AIR TRAFFIC SERVICES AIRSPACE
*    ENR 2.1 FIR, UIR, TMA
*
* Last check:
*
*   Wim Verhoeve (19 December 2011)
*
* Map List:
* 
*   MAP WEEK           YES
*   MAP WEEKEND        YES
*   MAP WEEKEND_LFAG1  YES
*   MAP WEEKEND_LFAG2  YES
*   MAP WEEKEND_LFAG5  YES
*
* Remarks:
*   - Delegation of ATS from Langen ACC to Luxembourg APP.
*   - Airspace class C at and above FL 100.

AC C/E
AN Luxembourg TMA 2A
AH FL 145
AL 2500 ft AGL
DP 50:07:48 N 006:08:16 E
DP 50:07:48 N 006:12:52 E
DP 50:01:49 N 006:12:28 E
DP 49:57:14 N 006:12:08 E
* START German-Luxembourg border
DP 49.955994 N 6.198370 E
DP 49.960693 N 6.195667 E
DP 49.967110 N 6.195173 E
DP 49.971207 N 6.190538 E
DP 49.968887 N 6.183736 E
DP 49.960304 N 6.178994 E
DP 49.963612 N 6.172106 E
DP 49.965092 N 6.170840 E
DP 49.965092 N 6.168587 E
DP 49.961399 N 6.168888 E
DP 49.961506 N 6.175132 E
DP 49.954105 N 6.175711 E
DP 49.953999 N 6.163201 E
DP 49.961292 N 6.162622 E
DP 49.961292 N 6.156378 E
DP 49.983307 N 6.154597 E
DP 49.983395 N 6.160841 E
DP 49.986893 N 6.148052 E
DP 49.990498 N 6.141486 E
DP 49.994209 N 6.141207 E
DP 49.993996 N 6.128676 E
DP 49.997707 N 6.128376 E
DP 49.997791 N 6.134641 E
DP 50.001503 N 6.134341 E
DP 50.005196 N 6.140327 E
DP 50.008907 N 6.140027 E
DP 50.008801 N 6.133761 E
DP 50.015987 N 6.120651 E
DP 50.016094 N 6.126916 E
DP 50.019806 N 6.126637 E
DP 50.019894 N 6.132882 E
DP 50.023499 N 6.132581 E
DP 50.023499 N 6.126337 E
DP 50.030708 N 6.119492 E
DP 50.038113 N 6.118913 E
DP 50.038197 N 6.125157 E
DP 50.041801 N 6.118612 E
DP 50.045406 N 6.118312 E
DP 50.048988 N 6.111767 E
DP 50.060104 N 6.110888 E
DP 50.059998 N 6.104622 E
DP 50.056309 N 6.104922 E
DP 50.059891 N 6.098378 E
DP 50.067295 N 6.097798 E
DP 50.067295 N 6.104043 E
DP 50.063709 N 6.104343 E
DP 50.063709 N 6.110609 E
DP 50.067402 N 6.110308 E
DP 50.071198 N 6.116273 E
DP 50.078495 N 6.115673 E
DP 50.074802 N 6.109729 E
DP 50.071091 N 6.110008 E
DP 50.074696 N 6.103463 E
DP 50.078407 N 6.103163 E
DP 50.078495 N 6.109428 E
DP 50.093193 N 6.108270 E
DP 50.093300 N 6.120758 E
DP 50.096905 N 6.114213 E
DP 50.100597 N 6.113913 E
DP 50.100788 N 6.126380 E
DP 50.104500 N 6.126101 E
DP 50.104393 N 6.119857 E
DP 50.108105 N 6.119556 E
DP 50.111797 N 6.125500 E
DP 50.111691 N 6.119277 E
DP 50.122803 N 6.118376 E
DP 50.122803 N 6.124599 E
DP 50.126602 N 6.130521 E
* END German-Luxembourg border
DP 50:07:48 N 006:08:16 E
